job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
17655,Optical Sales,"US, MN, Rosemount",,,,"Long term, well established optometric practice is seeking a full-time Optical Sales for our Rosemount, Minnesota location. Are you openly friendly and energetic? Are you comfortable talking with &amp; starting conversations with people?Do you smile easily and are you highly motivated with a strong commitment to customer service?Are you looking for a long-term position with a family oriented environment?To apply for this position, please submit your application via this link: #URL_dc6a4e8df8c88cf7bb611c27fadf835b2ea6d40cec837463b39bb6ba9bca8852#?i=MTkz and select the Optical Sales (Rosemount, Minnesota) position from the Job Opening drop-down menu.","The ideal candidate will:Have a broad knowledge of fashion frame lines and lensesHave some experience with VSP, Davis or EyeMedHave knowledge of prescriptionsHave strong selling and communication skillsIf this sounds like you, then apply now!",,0,0,0,Full-time,,,"Health, Wellness and Fitness",Sales,1
12239,Junior Sales Representative,"CA, BC, Vancouver",Sales,,"Company Website: #URL_b0bc289d014ce1647b7dbe8ffe0e121d1f3ded55cbf9e3c20987b3cf1f8d3b5d#Advisor Websites has been a player in the financial services industry since 2002, building crisp, professional, and compliant websites exclusively for members of the financial services industry all across North America through a SAAS business model. Our head office is located on the beautiful West Coast of Canada in Vancouver, British Columbia.We offer an amazing culture and work environment for those who seek to learn, grow and are top achievers.","This is a junior sales position for a hunter with a can-do attitude, who will no take no for answer, and who is hungry to close some deals!!You will bring excellent telephone sales and communications skills, and will identify and connect with new prospects with a particular focus on the Financial Services #URL_e28dc175133e9090051586bd4faf59de5475fa6a2bb9ed54ca9f423aa23fb412# will also develop phone-based revenue generation through the creation of sales leads, initiation of prospect calls, and establishment of ongoing rapport with existing and potential customers.Responsibilities include:Prospecting for new leads (including cold calling)Responding to sales inquiriesClosing new business consistently at or above quota levelPerforming product demosProcessing, entering &amp; maintaining all sales information in our CRMReporting on daily, weekly, and monthly sales performance and consistently achieve targets.Building knowledge about Advisor Websites’ products and services to effectively respond to questions/inquiries, stay attuned to best practice techniques and current product/service offerings.","What we are looking for:Goal oriented (can demonstrate when set goals and achieved them)Resourceful personality (will not take no for an answer)Exceptional closing skills (we are looking for over achievers)Excellent ability to communicate to internal and external customers (verbal &amp; written)Powerful work ethicGood attention to detail and accuracyLots of energy, passion, and enthusiasmQualifications:Minimum 2+ years’ experience in a sales role (account coordinator, sales representative, account management), ideally within a technology/software company (SaaS)Some good understand of web technology and digital marketingProven ability to exceed sales quota and targets","Company Website: #URL_b0bc289d014ce1647b7dbe8ffe0e121d1f3ded55cbf9e3c20987b3cf1f8d3b5d#Advisor Websites has been a player in the financial services industry since 2002, building crisp, professional, and compliant websites exclusively for members of the financial services industry all across North America through a SAAS business model. Our head office is located on the beautiful West Coast of Canada in Vancouver, British Columbia.We offer an amazing culture and work environment for those who seek to learn, grow and are top achievers.",0,1,1,Full-time,Entry level,High School or equivalent,Computer Software,Sales,0
17011,Account Executive,"US, OH, Columbus",,,"Network Closing Services has been serving Lenders, Real Estate Consumers, and Professionals since 1999.  We provide courteous professional services, speedy title searches, and timely disbursements.  Dynamic flexibility is key to our success.  Your satisfaction, as our client, is important.  We are here to assist you and ensure a efficient, cohesive transaction.  Our experienced settlement officers and attorneys will travel anywhere in the country, day or night, to perform a closing. Our staff is committed to providing our customers a level of service that is unparalleled in the title industry.  Today's competitive market requires more than dedication and experience. It requires proven expertise, irrepressible vision and tightly orchestrated teamwork. Network Closing Services incorporates these essential qualities into every facet of every service we offer. We successfully deliver innovative, high-volume, regional closing services.  For resume review, email to #EMAIL_bbbab0052922a3a922939af2180ff4d9f034ba04634bd573870818da62a0d151# or call Office: #PHONE_113b1bd5d3e5e087c3480c458e2ef299fd3a272612224463899e65ab2fe73995# x7141 Cell: #PHONE_c3853c0e034b798989b048d3a55a28d03177bfde5db40af1c435f6fa5a867868#","Network Closing Services, Inc., a full service Title Company is seeking an established Sales Representative with a Title Insurance Book of Business.  We are continuing our nationwide expansion.  Come join a winning team!Network Closing Services has been serving Lenders, Real Estate Consumers, and Professionals since 1999.  We provide courteous professional services, speedy title searches, and timely disbursements.  Dynamic flexibility is key to our success.  Our Client satisfaction is very important.  We provide experienced settlement officers and attorneys anywhere in the country, day or night, to perform a closing. Our staff is committed to providing our customers a level of service that is unparalleled in the title industry.  Today's competitive market requires more than dedication and experience. It requires proven expertise, irrepressible vision and tightly orchestrated teamwork. Network Closing Services incorporates these essential qualities into every facet of every service we offer. We successfully deliver innovative, high-volume, regional closing services. Duties: As a sales representative you will be responsible for generating revenue from your existing clients and identifying new clients who can direct title business to Network Closing Services.  Promote our title and closing services to generate leads and referrals.  Develop sales and marketing plan targeting key Realtor, Lender and Builder accounts.  Assist clients with questions, act as liaison between company and client as needed.  Candidate will meet weekly and monthly sales goals set by management.  Candidate will provide reports of sales activity.  Growth opportunityEmmanuel Sanchez#PHONE_dc5cff94cbcc4ac18e1234a2e6521946ae7d722bdf66cfc1af3aeca9255aee0d##URL_1bdaa45fd1ec77ea7879abfceafd610ca4fa9b4eb30eb6fa5f39b9ffac8a8c5a#                                            *Seeking candidates in Ohio and Nationwide ","**Experienced candiates only**A successful candidate will have an existing Realtor, Broker, Lender Book of Business and proven track record of meeting and exceeding sales goals.Must have experience in maintaining and developing long term relationships with key decision makers.Must have excellent communication skills with ability to be assertive and to persuade. Must present oneself and company in a professional manner at all times.Frequently assess progress and adjust techniques as the market dictates.Ability to travel at least 50% of the time.Ability to close a transaction a plus.Licensed Title Agent preferred.","We provide a fun and rewarding atmosphere, our employees are supported at all levels to achieve a common goal.  We also have the traditional benefits including:Vacation PaySick PayHoliday Pay401k PlanHealth, Dental, and Vision Insurance",0,1,1,Full-time,Mid-Senior level,High School or equivalent,Real Estate,,0
13412,PHP Web Application Developer,"CA, ON, Toronto",,,,"We are not going to bore you with a long job ad so we will get to the point. We are looking for a 70% backend and 30% frontend web application developer to join our team. We are agile and work with cutting edge technology and best practices. We want someone who can ship products but also love to tweak and optimize his/her codes. If you have leadership skills, that is a huge plus as we also have a vacant Dev lead position. Our motto is “There is always a way, and there is always a better way.” ","1. Experienced in the entire process of software development 2. Understand Agile 3. Love to write tests (functional, unit, acceptance) 4. Love to tweak and optimize 5. Up-to-date with latest web application technology and best practices 6. Solid understanding of various database technology (MySQL, MongoDB, Redis, Memcache) 7. Solid understanding of PHP (Laravel framework), Javascript, AngularJS, NodeJS, C++ 8. Practice source code control using Git 9. 4+ year in web application development (customizing WordPress doesn’t count) 10. Mobile Experience is a huge plus 11. Basic understanding of Unix CLI 12. Open Source contribution is a huge plus How to apply: Please submit your resume and the answers to the following questions: 1. Why do you think you are a great web application developer? 2. Describe a situation in your work-life where you failed. 3. Describe a time when you accomplished something you thought was impossible. (Can be work-related or personal) ",,0,0,0,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0
11760,Project Engineer,"US, CA, Bakersfield",Engineering,,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","JOB DESCRIPTION: PROJECT ENGINEERDesign and install minor and major capital projects. Prepare specifications, drawings, bid packages, quotation analysis and other applicable documents for purchase, construction, and repair of refinery facilities. Supervise the activities of contract engineering and construction personnel.Lead projects from the feasibility phase through design, construction, startup, and close out phases. The Project Engineer will be responsible for completing the projects on time, within the budget, and adherence to the design specifications.Provide timely and accurate engineering designs. Apply good safety and environmental practices in all engineering recommendationsB.S. in Mechanical Engineering required with 3 to 10 years experience in Refining or Petrochemical sectors. Excellent wage/benefit package available.",B.S. in Mechanical Engineering required with 3 to 10 years experience in Refining or Petrochemical sectors. ,Excellent wage/benefit package available.,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,1
11273,Campaign Manager,"US, CA, El Segundo",Product Development,,"ConsumerTrack is a technology-centric internet marketing company built on a culture of excellence. We are the preferred digital advertiser for premium financial brands such as American Express, Discover, Allstate and Equifax. Through our 1600+ websites, we set the vision and the strategy for our clients to reach and connect with their target audience.At ConsumerTrack, we pride ourselves in having a team that exudes leadership, high initiative, creativity, and passion. By joining our team, you will have the opportunity to maximize your job performance and satisfaction with a company that is constantly growing.We are committed to recruit, retain, and promote employees with a diversity of backgrounds and life experiences. We believe such diversity fosters growth and innovation, ensuring we remain an industry leader.We’re currently looking for energetic, driven and entrepreneurial trendsetters for all areas of the #URL_2a5cb7925ac0d5929dbe762cfc72b186318a2597921e82d05639bbb5978f8089# you’re looking to advance your career and become a part of our team, we invite you to apply for our open positions.","Recognized as one of the fastest growing digital advertising companies, ConsumerTrack has been in the forefront of performance-based marketing since our founding in 2004. Led by a team of Internet advertising veterans and engineers, ConsumerTrack has served thousands of advertisement campaigns on our GoMedia Platform. We achieved this growth by enabling clients and agencies to execute ad campaigns across our 1600 web properties.We cultivate partnerships with elite Fortune 1000 financial corporations to improve the way people connect to the variety of financial products they use every day. Our long list of clients include key players such as American Express, Discover, Comerica, Allstate and Equifax, as well as premiere national advertising agencies  such as Starcom, Digitas, Mediavest, and Rosetta.We are looking for a Campaign Manager to be the focal point for all campaign optimizations and communication between sales, media, product, clients, and publishers for any campaign our business is running. The Campaign Manager will lead all monetization of our GoMedia Platform, impacting our company’s bottom line by providing end-to-end campaign management.How you will be advancing your career:Become a Double Click Ad management subject matter expert and lead a companywide training initiative on functionalities and best practicesRecommend new approaches and provide guidance on customer acquisition and campaign design based on metricsAnalyze, optimize and execute new client launch process to increase ROIRevamp existing campaigns to maximize conversion ratesUses statistical analysis to support ongoing programs and marketing initiatives to increase performance of campaignsProvide tactical recommendations to improve campaign planning and designAnalyze and report campaign performance metrics to business units and clients","You have a Bachelor’s degree complemented with 2-3 years of experience in campaign management (DoubleClick-DFP/DFA)You’re a do-er and trouble-shooter. You approach all challenges with a solution-oriented mind-set.  You can multi-task and prioritize effectively. You are proactive, work well independently and under pressure.You geek out on analytics, love identifying trends, and can leverage Excel to do it efficiently and accurately.You enjoy working with lots of people and are an excellent communicator.You’re a quick learner and value seeing a project through from start to finish.You thrive in an ever-changing, fast-paced environment and constantly thrive to master your craft.You want to have a stake in the company and be a real owner in ConsumerTrack’s future.","• Competitive salary and excellent growth opportunity • We invest in you! • Excellent medical, dental and vision plans • Paid vacation, holidays, and sick days • 401k- We contribute 3% of employee’s salary! • Free Gym Membership for elite Spectrum Clubs • Monthly complimentary catered breakfast/lunches • Monthly employee outings (ex. Bowling, Paintball, Bonfire, etc.)Do companies like this really exist? Yes – Check us out on Facebook! #URL_395676d9f20f6d0de59bc7456bd2ddfdf53db0013edfdfeb455c2df66eeed0c4#We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",0,1,1,,,,,,0
6148,Solutions Architect,"US, CA, Manhattan Beach",Consulting,,"The Boston Consulting Group (#URL_45423e1e16703aa4d8ee444d3ad69bb51525f1dad0b3115713cf80dc496299e2#) has launched a new digital business, BCG Digital Ventures (#URL_4968ff917b2cf554a3e92b004e0c92d03e4c10730070a0df7e84f0d3db806e53#) - a digital innovation, product development, and commercialization firm.  This first-of-its-kind firm will bring unique capabilities to create and grow disruptive digital products and platforms.  BCG Digital Ventures goes beyond providing consulting, design, and technology services to form strategic venture teams with its clients in order to rapidly develop, launch and grow transformational digital products, platforms and businesses.The Boston Consulting Group (BCG) is a global management consulting firm and the world's leading advisor on business strategy.  BCG partners with clients from the private, public and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises.BCG was founded in 1963 and is a privately owned firm with more than 7,000 employees across 81 offices in 45 countries.  Integrity, respect for the individual, delivering value, and making an impact on society are just some of BCG's core values. BCG's commitment to both their clients' success and their own standards is what sets BCG apart as a world-class professional services organization.","THE COMPANY: BCG Digital Ventures (#URL_4968ff917b2cf554a3e92b004e0c92d03e4c10730070a0df7e84f0d3db806e53#) The Boston Consulting Group (#URL_45423e1e16703aa4d8ee444d3ad69bb51525f1dad0b3115713cf80dc496299e2#) has launched a new digital business, BCG Digital Ventures (#URL_4968ff917b2cf554a3e92b004e0c92d03e4c10730070a0df7e84f0d3db806e53#) - a digital innovation, product development, and commercialization firm.  This first-of-its-kind firm will bring unique capabilities to create and grow disruptive digital products and platforms.  BCG Digital Ventures goes beyond providing consulting, design, and technology services to form strategic venture teams with its clients in order to rapidly develop, launch and grow transformational digital products, platforms and businesses.The Boston Consulting Group (BCG) is a global management consulting firm and the world's leading advisor on business strategy.  BCG partners with clients from the private, public and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. BCG was founded in 1963 and is a privately owned firm with more than 7,000 employees across 81 offices in 45 countries.  Integrity, respect for the individual, delivering value, and making an impact on society are just some of BCG's core values. BCG's commitment to both their clients' success and their own standards is what sets BCG apart as a worldclass professional services organization. THE OPPORTUNITY: SOLUTIONS ARCHITECTBCG is looking for an exemplary Digital / IT Solution Architect to help drive the rapid growth of BCG's new digital business, BCG Digital Ventures. Our purpose is to help companies imagine, bring-to-life and launch digital businesses and solutions that have transformative customer impact. To do this, we’ve assembled a group of world-class business / strategy, product design, and technology professionals with deep knowledge and experience in digital businesses and solutions – from mobile applications and ecommerce, to new and emerging digital solutions yet to be realized.Specifically… Be a thought leader in digital platforms and solution architecture, regardless of the screen, device or deployment environment.Design bespoke online and mobile IT architecture, drawing on knowledge of open source and/or commercially available platformsApply industry best practices and design patterns to design scalable, secure solutions that have superior technical performanceDevelop system implementation plans and processes and oversee development, integration, testing and launch of new digital products and solutionsShape and drive implementation of key processes related to digital businessesEngage and in some cases lead rich collaborative problem solving with other domain experts, which include business strategists, information architects, UX / UI designers, developers and industrial / product designersDrive the evaluation of third party suppliers/products and solutionsDesign and establish an accredited 3rd party supplier network of IT / digital delivery partners who can be subcontracted to support large client engagementsHelp hire, develop, and lead a team of system analysts to become solution architects","EDUCATION: Bachelors or Masters Degree (s) in a related field of study (e.g. Comp. Sci.)EXPERIENCE: 5-10+ years of experience in solution / enterprise architecture, preferably within top tier consulting and industry settingsWorking knowledge of online, cloud and mobile platforms, (e.g., Windows Azure, Google App Engine, Amazon Cloud, OS X, Android)Deep experience of driving analysis of how business requirements can be technically implementedExperience with large or complex system integration projectsExperience with IT architecture in retail, media and/or telecommunications industries a plusDeep experience of how business requirements can be technically implementedPossess a passion for digital products and servicesStrong track record of dealing with complex bespoke solutions that require creative and complex investigation and evaluation of alternative architectural solutionsStrong track record of being recognized as a true team leader and mentorStrong written, verbal and interpersonal communication skills.Self-motivated, takes initiative, possesses creative problem-solving skills and willingness to offer suggestions for improvement; able to build effective relationships to leverage resourcesProven diligence, attention to detail and technical intuition.Service-oriented, flexible, positive team player, capable of interacting and problem solving with a multidisciplinary team.An organized and composed professional, able to handle competing priorities and work effectively in a challenging fast paced environment.Exercises judgment in managing confidential / sensitive information; trustworthy, ethical and possesses the highest levels of character and values. Must be able to thrive in a fast-paced, intellectually intense, service-oriented environment and to interpret rules and guidelines flexibly to enhance the business and in keeping with BCG’s values and cultureProven Experience working successfully within a complex matrix structured organization is essentialIt is necessary to have the ability to understand and manage complex reporting relationships and incorporate multiple labor laws and cultures. ",Why BCG?Is BCG for me?Career GrowthWorking at BCGMeet BCGersFAQ“Top 5 Fortune’s Best Companies to Work for”96% of the staff is proud to be part of BCG92% of alumni recommend BCG as place to workBCG works with 2/3 of Fortune 500 Companies,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Consulting,0
749,Mirfield Warehousing Apprenticeship Under NAS 16-18 Year Olds Only ,"GB, , Mirfield",,,"Established on the principles that full time education is not for everyone Spectrum Learning is made up of a team of passionate consultants with the drive for putting people who wish to grow themselves through education whilst working into long term and relevant job roles.We also are official re-sellers for The Institute of Recruiters/ Study Course professional courses in HR Practice, In-House Recruitment and Agency RecruitmentIt is our mission to help anyone wishing to pursue an apprenticeship onto the right qualification and into the right job.We work closely with both the candidate and the employer to ensure when the learner is enrolled they are at the start of a long and successful career.We have great relationships with a number of national training providers to ensure we can cover any apprenticeship available.  ", Government funding is only available for 16-18 year olds only.Perfect role for school leavers.This is a fantastic opportunity for those looking to start their career in Warehousing. During the first 12 months you will work towards a Level 2 Warehousing NVQ and then be kept on in a permanent position.You will be working for a silicone hoses manufacturing company and the role will involve:-Picking and packing-Despatching orders-Taking calls from internal staff and customersIdeal candidates will be able to work in a team and will have good timekeeping skills.If you are motivated and career minded please apply now.,16-18 year olds only due to government funding.Full time availability.,Career prospects.,0,1,1,Full-time,Not Applicable,High School or equivalent,Warehousing,,0
6159,Senior UX Consultant,,,,"WHO WE AREIn2media has ever since the early start in 1994 grown into being a full service digital agency. Following the evolution of the net we’ve created different, groundbreaking and challenging digital solutions. And we still do. To be curious and visionary is in our nature. That’s why efficient, experience-based digital communication is our trademark.WHAT WE DOIn2media produces campaigns, corporate sites, brand channels, rich media sites, applications, and transaction sites. The aim of our solutions is to strengthen the relations between clients and users. That’s why we insist on having insights and understanding for the need of both clients and users. When this is accomplished, strategy, concept, content, technology and process all come together in a unified form.HOW WE DO ITThe E3-principal is the core in our approach to any assignment. All three E’s must be fulfilled for a solution to be classified as completed:ENRICH – to enrich and be enrichedWhen the client and we enrich each other it enriches the solution and the experience provided for the usersEXCITE – to excite and be excitedWhen we’re excited by a project, we’ll deliver a unique solution that will excite both client and usersEMPOWER – to empower and be empowered With the confidence of our clients we’re empowered to create solutions that empower users and clients in new exciting ways","Please apply for the position as Senior UX Consultant at In2media by clicking the ""Apply for this job""-button below.We are looking forward to receiving your application.In2media",,,0,1,0,,,,,,0
4184,CUSTOMER SERVICES REP( FULL TIME POSITION),"US, TX, AUSTIN",CSR CENTER,35000-40000,"Our globally connected world has forced businesses to rethink how they communicate. Mobile lifestyles, a flood of technology, economic pressures and an “always on” mentality have created both opportunity and challenges for organizations of all sizes. Mitel® (NASDAQ: MITL) (TSX: MNW) is a global leader in business communications that easily connect employees, partners and customers -- anywhere, anytime and over any device, for the smallest business to the largest enterprise. Mitel offers customers maximum choice with one of the industry’s broadest portfolios and the best path to the cloud. With more than US$1 billion in combined annual revenue, 60 million customers worldwide, and #1 market share in Western Europe, Mitel is a clear market leader in business communications.","DescriptionDUTIES INCLUDE BUT ARE NOT LIMITED TO:Perform all components of call processing, and adheres to Call Audit Tool.Reviews calls with Manager to meet Call Audit requirements.Performs accurate data entry at time of call.Communicates appropriately and clearly to departmental management, co-workers and callers.Treat callers with respect and dignity; ensures confidentiality of each person's data.Speak with a pleasant, professional telephone voice.Responsible for reviewing productivity stats/information as communicated by your Manager.Ensures that performance standards for hold time are met.  (less than 2 minutes on average).Ensures that performance standards for abandonment rate are met.  (less than 5% of total calls received).Ensures that performance standards for hold time are met.  (less than 2 minutes on average)Responsible for knowing addresses, telephone numbers, hospital services and classes offered.Document all inquires for statistical purposes.Maintain confidentiality of all interactions.Document call tracking information.Keep self and telephone available for calls unless otherwise assigned.Accurately and completely registers callers for classes.Able to discuss with callers the hospital services, directions, etc.Ensure that call documentation meets current standards and policies.Performs other specific duties as assigned by Manager (examples include sending rosters, processing daily mail - both incoming and outgoing, calling registrants with changes, updates and cancellations, etc.)Demonstrates knowledge of eCentaurus  which enables CSR to assist callers as quickly as possible.Practice and adhere to the ""Code of Conduct"" philosophy and ""Mission and Value Statement""Other duties as assigned.","Communication - communicates clearly and concisely, verbally and in writingCustomer orientation - establishes and maintains long-term customer relationships, building trust and respect by consistently meeting and exceeding expectationsInterpersonal skills - able to work effectively with other employees, patients and external partiesPC skills - demonstrates proficiency in PC applications as requiredPolicies &amp; Procedures - demonstrates knowledge and understanding of organizational policies, procedures and systemsBasic skills  - able to perform basic mathematical calculations, balance and reconcile figures, punctuate properly, spell correctly and transcribe accurately","Competitive compensation package, benefits and exciting advancement opportunities with this industry leader.Salary Between $30,000-$45,000Position  Type : Full-Time  Position",0,1,1,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,1
